IID	cage
A048028856	10A
A048104514	10A
A048106317	10A
A048280837	10A
A048287013	10A
A048007096	10B
A048039840	10B
A048273042	10B
A048283353	10B
A048300286	10B
A048042870	10C
A048050833	10C
A048057032	10C
A048278815	10C
A048286335	10C
A048115873	10D
A048122016	10D
A048122308	10D
A048126293	10D
A048272639	10D
A048031067	10E
A048047094	10E
A048068026	10E
A048108327	10E
A048282532	10E
A048287855	10E
A048029629	10F
A048041606	10F
A048086633	10F
A048105840	10F
A048275596	10F
A048089538	10G
A048115324	10G
A048120301	10G
A048283621	10G
A048287563	10G
A048087308	10H
A048090875	10H
A048285066	10H
A048299878	10H
A048039054	11A
A048069521	11A
A048084262	11A
A048087629	11A
A048102298	11A
A048114819	11A
A048125004	11A
A048045018	11B
A048059117	11B
A048125374	11B
A048273375	11B
A048297309	11B
A048059097	11C
A048062633	11C
A048109049	11C
A048111353	11C
A048061051	11D
A048109836	11D
A048283332	11D
A048288313	11D
A048047040	11E
A048063019	11E
A048075098	11E
A048102371	11E
A048114796	11E
A048117617	11E
A048070376	11F
A048098790	11F
A048101850	11F
A048268784	11F
A048117780	11G
A048127848	11G
A048263023	11G
A048275368	11G
A048279338	11G
A048023565	11H
A048058846	11H
A048077580	11H
A048113065	11H
A048276539	11H
A048287369	11H
A048010371	12A
A048089847	12A
A048094368	12A
A048107550	12A
A048275273	12A
A048283514	12A
A048302801	12A
A048058070	12B
A048256768	12B
A048282069	12B
A048057608	12C
A048073606	12C
A048082370	12C
A048049312	12D
A048056619	12D
A048087591	12D
A048102326	12D
A048273581	12D
A048028871	12E
A048057587	12E
A048067802	12E
A048118784	12E
A048123293	12E
A048283271	12E
A048069049	12F
A048075614	12F
A048084065	12F
A048109025	12F
A048293873	12F
A048303261	12F
A048035553	12G
A048037101	12G
A048055545	12G
A048065319	12G
A048123376	12G
A048286571	12G
A048298071	12G
A048085283	12H
A048105836	12H
A048115835	12H
A048282776	12H
A048021023	13A
A048048342	13A
A048102636	13A
A048261002	13A
A048271860	13A
A048275341	13A
A048102062	13B
A048107106	13B
A048120064	13B
A048276590	13B
A048283595	13B
A048006063	13C
A048031822	13C
A048071106	13C
A048102284	13C
A048274859	13C
A048073555	13D
A048078786	13D
A048108281	13D
A048288294	13D
A048041027	13E
A048067771	13E
A048068895	13E
A048072087	13E
A048075265	13E
A048078862	13E
A048046798	13F
A048054628	13F
A048106824	13F
A048126565	13F
A048278380	13F
A048036259	13G
A048101022	13G
A048113527	13G
A048297770	13G
A048035291	13H
A048056786	13H
A048089322	13H
A048275274	13H
A048074553	14A
A048122322	14A
A048273786	14A
A048292804	14A
A048299526	14A
A048011811	14B
A048093528	14B
A048104802	14B
A048122553	14B
A048296850	14B
A048011040	14C
A048047330	14C
A048063530	14C
A048274362	14C
A048300274	14C
A048011567	14D
A048076630	14D
A048127320	14D
A048273083	14D
A048082363	14E
A048084549	14E
A048111540	14E
A048114022	14E
A048123601	14E
A048285106	14E
A048033110	14F
A048050779	14F
A048274070	14F
A048282323	14F
A048301565	14F
A048047867	14G
A048120298	14G
A048122776	14G
A048273330	14G
A048276563	14G
A048040059	14H
A048116536	14H
A048258620	14H
A048284829	14H
A048301370	14H
A048060889	15A
A048061613	15A
A048079075	15A
A048287619	15A
A048035543	15B
A048052595	15B
A048096119	15B
A048123560	15B
A048006555	15C
A048045845	15C
A048069001	15C
A048073291	15C
A048058769	15D
A048083047	15D
A048276532	15D
A048281772	15D
A048022858	15E
A048058856	15E
A048068077	15E
A048256776	15E
A048263310	15E
A048278103	15E
A048035776	15F
A048112554	15F
A048114371	15F
A048122545	15F
A048011554	15G
A048058554	15G
A048078784	15G
A048087831	15G
A048115577	15G
A048063276	17A
A048123548	17A
A048272843	17A
A048283853	17A
A048066372	17B
A048272331	17B
A048274273	17B
A048042578	17C
A048066594	17C
A048067791	17C
A048093042	17C
A048127826	17C
A048048117	17D
A048059338	17D
A048094867	17D
A048118372	17E
A048122792	17E
A048272564	17E
A048276871	17E
A048040045	17F
A048048118	17F
A048049553	17F
A048071579	17F
A048113040	17F
A048125364	17F
A048005112	17G
A048114787	17G
A048286851	17G
A048031545	17H
A048106608	17H
A048119797	17H
A048279094	17H
A048281589	17H
A048019267	18A
A048047298	18A
A048067524	18A
A048068082	18A
A048011287	18B
A048022611	18B
A048086882	18B
A048283599	18B
A048088520	18C
A048097830	18C
A048272323	18C
A048273604	18C
A048061513	18D
A048068368	18D
A048086277	18D
A048272018	18D
A048042298	18E
A048064819	18E
A048081308	18E
A048111516	18E
A048278035	18E
A048086093	18F
A048280359	18F
A048285543	18F
A048043004	18G
A048072595	18G
A048086793	18G
A048258834	18G
A048057565	18H
A048261259	18H
A048285264	18H
A048120035	19A
A048258550	19A
A048282361	19A
A048284577	19A
A048288553	19A
A048041617	19B
A048084845	19B
A048274102	19B
A048015047	19C
A048051064	19C
A048061341	19C
A048278086	19C
A048281584	19C
A048036063	19D
A048056266	19D
A048292860	19D
A048040526	19E
A048065035	19E
A048072521	19E
A048122316	19E
A048261040	19E
A048295302	19E
A048005080	19F
A048061517	19F
A048063277	19F
A048111851	19F
A048288364	19F
A048042626	19G
A048067278	19G
A048098815	19G
A048112845	19G
A048281301	19G
A048030369	20A
A048031101	20A
A048055872	20A
A048092534	20A
A048118000	20A
A048127592	20A
A048032883	20B
A048103552	20B
A048256284	20B
A048285875	20B
A048304031	20B
A048093776	20C
A048098584	20C
A048127013	20C
A048297050	20C
A048047780	20D
A048093342	20D
A048114639	20D
A048117876	20D
A048273353	20D
A048302637	20D
A048275570	20E
A048280513	20E
A048288802	20E
A048299053	20E
A048064308	20F
A048064620	20F
A048067887	20F
A048076855	20F
A048278795	20F
A048279031	20F
A048028864	21A
A048062325	21A
A048085379	21A
A048122784	21A
A048102840	21B
A048285627	21B
A053573352	21B
A053610544	21B
A052556361	21C
A052787883	21C
A052845545	21C
A053314371	21C
A053315089	21D
A053350345	21D
A053382037	21D
A053627847	21D
A053119096	21E
A053347109	21E
A053564374	21E
A053568862	21E
A053791356	21E
A048257316	21F
A048279079	21F
A052525850	21F
A052892872	21F
A053524010	21F
A048080582	21G
A052801541	21G
A053037776	21G
A053349036	21G
A053377861	21G
A053616606	21G
A053030296	22A
A053059356	22A
A053104274	22A
A053309610	22A
A053349313	22A
A052856103	22B
A053104090	22B
A053123328	22B
A053543610	22B
A053546593	22B
A053798358	22B
A054091270	22B
A052592018	22C
A053068775	22C
A053096770	22C
A053278526	22C
A053327308	22C
A053031772	22D
A053328342	22D
A053363022	22D
A053804113	22D
A052781845	22E
A052849123	22E
A053084062	22E
A053306061	22E
A053607586	22E
A053118815	22F
A053515788	22F
A053539264	22F
A053577791	22F
A053807280	22F
A052623571	23A
A053102110	23A
A053607343	23A
A053610886	23A
A052873779	23B
A053030292	23B
A053560346	23B
A053611854	23B
A053347351	23C
A053364292	23C
A053619006	23C
A053796333	23C
A053077810	23D
A053382347	23D
A053774578	23D
A053790005	23D
A052619346	23E
A053026818	23E
A053054528	23E
A053582632	23E
A052526859	23F
A052844109	23F
A052851552	23F
A053074016	23F
A053357344	23F
A053381362	23F
A052553589	23G
A052609588	23G
A053058379	23G
A053617622	23G
A053619368	23G
A053625512	23G
A052634816	24A
A052838073	24A
A052858890	24A
A052861821	24A
A053357326	24A
A053592775	24A
A052635259	24B
A052852070	24B
A053325844	24B
A053521596	24B
A053786092	24B
A053075810	24C
A053076035	24C
A053115580	24C
A053589026	24C
A053632861	24C
A052598083	24D
A053063281	24D
A053375835	24D
A053564582	24D
A053329319	24E
A053344037	24E
A052862319	24F
A053053012	24F
A053098266	24F
A053334598	24F
A053537328	24F
A053563588	24F
A053581777	24F
A052892316	24G
A053279798	24G
A053557530	24G
A052621017	25A
A053117273	25A
A053561870	25A
A053628616	25A
A052529313	25B
A052845832	25B
A053374769	25B
A053573885	25B
A052530595	25C
A053063855	25C
A053121348	25C
A052552092	25D
A052628570	25D
A053101275	25D
A053325548	25D
A053327638	25D
A052819094	25E
A052893788	25E
A053551822	25E
A053777555	25E
A052538059	25F
A052610048	25F
A052811355	25F
A053372091	25F
A053614010	25F
A053625627	25F
A052554317	25G
A052624514	25G
A053057796	25G
A053310771	25G
A053579560	25G
A053615533	25G
A052798557	26A
A052857123	26A
A053620586	26A
A053627520	26A
A052618008	26B
A052620834	26B
A053026587	26B
A053625841	26B
A052597567	26C
A052860352	26C
A053007310	26C
A053616035	26C
A052631282	26D
A052634603	26D
A053310123	26D
A053552632	26D
A052623359	26E
A053311315	26E
A053350557	26E
A053802801	26E
A052624782	26F
A053376341	26F
A053381283	26F
A053542615	26F
A052888590	26G
A053345354	26G
A053575633	26G
A053603287	26G
A052623584	26H
A053121786	26H
A053373276	26H
A053608073	26H
A052629363	27A
A052888591	27A
A053121340	27A
A053327798	27A
A053611862	27A
A053627600	27A
A052568550	27B
A053363287	27B
A053372515	27B
A053778626	27B
A052782850	27C
A052857857	27C
A052864300	27C
A053054340	27C
A053364298	27C
A053611080	27C
A052634623	27D
A052799328	27D
A053775361	27D
A054084284	27D
A052781842	27E
A052800382	27E
A053070383	27E
A053083824	27E
A053523614	27E
A053616020	27E
A052624066	27F
A053031776	27F
A053075572	27F
A053512777	27F
A053610614	27F
A053622854	27F
A052853802	28B
A053052635	28B
A053109294	28B
A053348357	28B
A053776778	28B
A054090550	28B
A052569537	28C
A053107519	28C
A053268028	28C
A053550328	28D
A053613021	28D
A053625123	28D
A053081284	28E
A053111539	28E
A053278534	28E
A053593532	28E
A053784112	28E
A052612583	28F
A053027117	28F
A053037880	28F
A048029086	28G
A052870852	28G
A053042270	28G
A053259595	28G
A053627635	28G
A053106892	28H
A053606015	28H
A053811085	28H
A052792353	29A
A052795037	29A
A053603357	29A
A053617890	29A
A053622311	29A
A052589120	29B
A053044603	29B
A053113372	29B
A053274515	29B
A053629514	29B
A053035844	29C
A053544524	29C
A053558768	29C
A053614004	29C
A052621280	29D
A053084557	29D
A053110785	29D
A053323082	29D
A052780342	29E
A052795057	29E
A052886073	29E
A053117811	29E
A053563030	29E
A053781297	29E
A053053383	29F
A053318543	29F
A053324792	29F
A053543512	29F
A053612533	29F
A053615302	29F
A053366615	30A
A053562842	30A
A053607576	30A
A053615847	30A
A052553296	30B
A052877118	30B
A053013093	30B
A053368562	30B
A052589333	30C
A052780082	30C
A052852067	30C
A053083044	30C
A053612768	30C
A052796857	30D
A052854269	30D
A053068315	30D
A052602081	30E
A052808283	30E
A053075376	30E
A053559068	30E
A052638360	30F
A052846805	30F
A053053096	30F
A053066863	30F
A053002052	30G
A053112576	30G
A053547773	30G
A053565037	30G
A052785859	30H
A053029791	30H
A053085267	30H
A053625622	30H
A052555539	31A
A052594515	31A
A052863022	31A
A053126610	31A
A053334608	31A
A053548812	31A
A052888127	31B
A053273558	31B
A053380881	31B
A053583098	31B
A053594023	31B
A053628118	31B
A052631360	31C
A053086377	31C
A053324619	31C
A053516873	31C
A053328630	31D
A053576623	31D
A053596619	31D
A053785895	31D
A052532551	31E
A052812594	31E
A053039570	31E
A053104836	31E
A052799267	31F
A053048603	31F
A053278519	31F
A053370831	31F
A048028854	31G
A052828076	31G
A053029369	31G
A053583638	31G
A052545834	32A
A052783576	32A
A053024601	32A
A053345270	32A
A053348533	32A
A063007072	32B
A063259874	32B
A063369834	32B
A063514006	32B
A063546872	32B
A052625275	32C
A053624045	32C
A053121776	32D
A053374870	32D
A053538123	32D
A053622625	32D
A052545836	32E
A053122040	32E
A053347368	32E
A053597769	32E
A052616855	32F
A053028102	32F
A053078842	32F
A053517124	32F
A052848257	32G
