SUBJECT.NAME	PROJECT.NAME	PHENOTYPE.NAME	Obesity.BMI	Obesity.BodyLength	Date.Month	Date.Year	Date.Season	Date.StudyStartSeconds	Date.Hour	Date.StudyDay	GENDER	EndNormalBW	CoatColour	CageDensity	Litter
A048005080	HS_mouse	Obesity	-0.52013166685422	8.2	5	2003	spring	9072000	0	106	F	25.3	black	5	2
A048005112	HS_mouse	Obesity	-0.599354097952037	8	4	2003	spring	7862400	0	92	F	16.7	chocolate	3	4
A048006063	HS_mouse	Obesity	-0.401116443402858	8.2	3	2003	spring	5443200	0	64	M	31.6	dark.brown	5	4
A048006555	HS_mouse	Obesity	-0.526935426394781	8.1	4	2003	spring	6652800	0	78	M	28.2	silverado	4	1
A048007096	HS_mouse	Obesity	-0.415274210110944	7.6	3	2003	spring	3628800	0	43	M	27.1	chocolate	4	4
A048010273	HS_mouse	Obesity	-0.546143102252165	7.8	1	2003	winter	-518400	0	-5	F	20.9	chocolate	6	1
A048010371	HS_mouse	Obesity	-0.394471030532468	6.7	3	2003	spring	4838400	0	57	M	22.8	chocolate	7	3
A048011040	HS_mouse	Obesity	-0.54770232900537	6	3	2003	spring	6048000	0	71	M	14.4	chocolate	3	1
A048011287	HS_mouse	Obesity	-0.480725378988488	8.8	4	2003	spring	8467200	0	99	M	27.7	chocolate	4	1
A048011567	HS_mouse	Obesity	-0.51376048439828	8.2	3	2003	spring	6048000	0	71	M	26.1	black	4	3
A048013559	HS_mouse	Obesity	-0.512076423654605	7.5	2	2003	winter	3024000	0	36	F	20.9	black	3	1
A048015047	HS_mouse	Obesity	-0.465510577070553	6.9	5	2003	spring	9072000	0	106	M	20.1	black	5	3
A048017615	HS_mouse	Obesity	-0.478513544152695	8.1	2	2003	winter	1209600	0	15	M	23.5	light.brown	7	1
A048019267	HS_mouse	Obesity	-0.371916142680723	6.6	4	2003	spring	8467200	0	99	M	NA	light.brown	4	2
A048021023	HS_mouse	Obesity	-0.413322321513422	7.6	3	2003	spring	5443200	0	64	M	25.7	dark.brown	4	3
